"No","Nombre","Tipo_recoleccion","Sitio","Ceramica","Litico","Area","Este","Norte","Observaciones"
"1","CDA12","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324569.010441376,276635.346289117,"Sin comentario"
"2","CDA11","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324583.769932635,276648.60902645,NA
"3","CDA10","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324598.18441788,276661.408167138,NA
"4","CDA9","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324613.081789293,276675.130217873,NA
"5","CDA8","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324627.890049741,276688.224944828,NA
"6","CDA7","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324642.24213058,276702.39236356,NA
"7","CDA6","Pozo de sondeo","Caminos de Calibio",1,0,0.16,324657.278731463,276715.761960714,NA
"8","CDA5","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324672.06580652,276729.90650243,NA
"9","CDA4","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324686.648426288,276743.166189415,NA
"10","CDA3","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324701.485060364,276756.353413586,NA
"11","CDA2","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324716.278892516,276770.070668913,NA
"12","CDA1","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324730.4656861,276783.589176518,NA
"13","CDB1","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324744.848566754,276768.393437452,NA
"14","CDB2","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324730.172599639,276755.416065689,NA
"15","CDB3","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324715.724056698,276742.018802793,NA
"16","CDB4","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324700.85086071,276728.897916142,NA
"17","CDB5","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324685.796016606,276714.907783976,NA
"18","CDB6","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324671.239391949,276701.753809026,NA
"19","CDB7","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324656.54448971,276688.426973562,NA
"20","CDB8","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324642.166985789,276674.548056906,NA
"21","CDB9","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324626.397006787,276661.523669201,NA
"22","CDB10","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324612.14950084,276647.402346146,NA
"23","CDB11","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324597.941352866,276634.339742813,NA
"24","CDB12","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324582.800451983,276621.260621789,NA
"25","CDC1","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324758.375082948,276754.215211949,NA
"26","CDC2","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324744.223620988,276740.784105156,NA
"27","CDC3","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324729.121304594,276727.401161307,NA
"28","CDC4","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324714.30920718,276713.947924044,NA
"29","CDC5","Pozo de sondeo","Caminos de Calibio",1,0,0.16,324699.895899609,276700.09898085,NA
"30","CDC6","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324685.274838858,276687.122687584,NA
"31","CDC7","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324670.564113167,276673.485474062,NA
"32","CDC8","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324655.873094487,276660.208172506,NA
"33","CDC9","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324641.321997574,276646.648601657,NA
"34","CDC10","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324626.481489069,276633.553814324,NA
"35","CDC11","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324611.287138768,276619.29329395,NA
"36","CDD1","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324769.766070647,276741.298168871,NA
"37","CDD2","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324756.097749151,276728.606159967,NA
"38","CDD3","Pozo de sondeo","Caminos de Calibio",3,0,0.16,324741.167724672,276715.283410611,NA
"39","CDD4","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324726.331279988,276701.53911957,NA
"40","CDD5","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324711.948634492,276688.36008488,NA
"41","CDD6","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324697.065297888,276674.31928427,NA
"42","CDD7","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324682.434183869,276660.470137555,NA
"43","CDD8","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324667.754949863,276647.804452716,NA
"44","CDD9","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324653.090320478,276634.26159061,NA
"45","CDD10","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324638.241665555,276620.395735467,NA
"46","CDD11","Pozo de sondeo","Caminos de Calibio",0,0,0.16,324623.675083713,276607.470152911,NA
"47","CDA1","Superficie","Caminos de Calibio",0,0,393.92,324730.343072857,276783.675911378,NA
"48","CDA2","Superficie","Caminos de Calibio",0,1,406.97,324715.959568459,276770.367356786,NA
"49","CDA3","Superficie","Caminos de Calibio",1,0,408.726,324701.279849562,276756.879461515,NA
"50","CDA4","Superficie","Caminos de Calibio",1,0,406.628,324686.594097362,276743.360550568,NA
"51","CDA5","Superficie","Caminos de Calibio",0,0,408.838,324671.886548822,276729.775896879,NA
"52","CDA6","Superficie","Caminos de Calibio",2,0,406.479,324657.131917597,276716.184939369,NA
"53","CDA7","Superficie","Caminos de Calibio",2,5,405.115,324642.412636589,276702.633252578,NA
"54","CDA8","Superficie","Caminos de Calibio",0,0,403.374,324627.715654266,276689.099873952,NA
"55","CDA9","Superficie","Caminos de Calibio",0,0,401.239,324613.062258591,276675.583109516,NA
"56","CDA10","Superficie","Caminos de Calibio",0,0,401.405,324598.38439389,276662.075355912,NA
"57","CDA11","Superficie","Caminos de Calibio",0,0,401.245,324583.685204754,276648.537045134,NA
"58","CDA12","Superficie","Caminos de Calibio",0,0,400.045,324568.990020631,276634.987789482,NA
"59","CDB1","Superficie","Caminos de Calibio",0,1,371.867,324744.246263287,276768.939119703,NA
"60","CDB2","Superficie","Caminos de Calibio",2,0,399.292,324730.12025912,276755.872772868,NA
"61","CDB3","Superficie","Caminos de Calibio",3,0,399.188,324715.41771283,276742.380810034,NA
"62","CDB4","Superficie","Caminos de Calibio",5,1,398.149,324700.72081559,276728.88925529,NA
"63","CDB5","Superficie","Caminos de Calibio",3,0,400.603,324685.960977914,276715.377089896,NA
"64","CDB6","Superficie","Caminos de Calibio",10,0,398.748,324671.191285668,276701.811489145,NA
"65","CDB7","Superficie","Caminos de Calibio",8,0,397.597,324656.452985035,276688.280303234,NA
"66","CDB8","Superficie","Caminos de Calibio",0,0,396.446,324641.738850732,276674.767332403,NA
"67","CDB9","Superficie","Caminos de Calibio",3,3,396.364,324627.019215596,276661.265373076,NA
"68","CDB10","Superficie","Caminos de Calibio",48,0,395.636,324612.295377837,276647.753899856,NA
"69","CDB11","Superficie","Caminos de Calibio",30,0,395.104,324597.573991682,276634.2437842,NA
"70","CDB12","Superficie","Caminos de Calibio",0,0,397.425,324582.903621243,276620.639820591,NA
"71","CDC1","Superficie","Caminos de Calibio",0,1,362.05,324757.997701776,276754.214679317,NA
"72","CDC2","Superficie","Caminos de Calibio",0,0,402.466,324744.015430277,276741.365198238,NA
"73","CDC3","Superficie","Caminos de Calibio",80,4,401.931,324729.276809644,276727.870203364,NA
"74","CDC4","Superficie","Caminos de Calibio",27,2,401.995,324714.554359236,276714.376722507,NA
