Num,Nombre,Area(m2),Estructura_piramidal,Presencia_Material,Referencia,Este,Norte
1,Caminos de Calibío,19852,NO,SI,(Giraldo 2016),324657.115857662,276680.552876021
2,Molanga,31514,SI,SI,(Díaz 2019),322671.559457264,269274.569988674
3,Hacienda Río Blanco,3246279,NO,SI,(Mera 2023),328043.567447936,275426.369953581
4,Reserva de Calibio,19339,NO,SI,(Giraldo 2017),324718.914529709,276632.244423748
5,Hacienda Pisojé,1061569,NO,SI,(Giraldo 2021),329734.544813604,270444.850439204
6,Los Pinos,47467,NO,SI,(López y Hernández 2021),329987.688295488,269975.669130201
7,El Morro de Tulcán,51416,SI,SI,(Cubillos 1959),322118.551279922,270315.126911132
8,Broncazo,108081,SI,SI,(Solarte 2024),323506.225828436,270846.704511497
9,Las Guacas Zona B,405918,NO,SI,(Patiño 2008),327470.855377211,273611.849904604
10,Colina D,145164,NO,SI,(Vivas 1983),323366.465874222,269782.92575968
11,Colina C,67791,NO,SI,(Vivas 1983),323729.180986912,270060.845176197
12,Colina B,69462,NO,SI,(Vivas 1983),323406.693336642,270318.909348334
13,La Granja Caldas,106996,NO,SI,(Corrales 2021),321347.306647984,268600.078765749
14,Loma Chirimoyo/La Maria,70064,NO,SI,(Lehmann 1953),322188.634585076,268509.747454218
15,Licorera/C. la Eme,14721,NO,SI,(Lehmann 1953),322197.320086781,269818.265646448
16,Las Guacas Zona A,266320,NO,SI,(Patiño 2008),328018.424558346,272949.805280508
17,La Elvira,21580,NO,SI,(Gnecco 2000),326190.392021844,277222.280701156
18,Molanga norte,50849,NO,SI,(Méndez 1996),322791.948067159,269468.990690182
19,Fundación Mundo Mujer,434,NO,NO,(Villamarín 2019),321040.855502816,270110.771963203
20,Complejo Deportivo,59627,NO,SI,(Hernández 2012),322901.182767934,275300.019852084
21,Urbanización Campobello,188868,NO,NO,(Escobar et al. 1984),322911.662796366,272927.036997213
22,Hacienda Genagra,404045,NO,NO,(Escobar et al. 1984),322398.888219727,273288.595851708
23,Hacienda La Paz,247140,NO,SI,(Escobar et al. 1984),322883.310373883,273540.822923387
24,El Tablazo,12166,NO,SI,(Escobar et al. 1984),323775.384023222,273837.045603989
25,Aeropuerto Machángara,489484,NO,SI,(Escobar et al. 1984),320988.014308644,271343.641254201
26,Batallón José H. López,231594,NO,SI,(Escobar et al. 1984),320296.351906141,271568.872615533
27,Hacienda Trujillo,315370,NO,SI,(Escobar et al. 1984),319077.538517662,271830.781153078
28,Seguro Social El Recuerdo,14222,NO,SI,(Escobar et al. 1984),321896.169015896,271360.994381203
29,Terminal de Transportes,30747,NO,SI,(Escobar et al. 1984),321138.398442161,271025.29110769
30,Bloques de Pubenza,14432,NO,SI,(Escobar et al. 1984),321343.973736978,270786.176733694
31,Loma de Fucha/Caracol,16344,NO,SI,(Escobar et al. 1984),322124.465185973,269228.679677554
32,La Mina,24540,NO,SI,(Escobar et al. 1984),325068.132699766,269055.491357383
33,Pomona,4654,NO,SI,(Escobar et al. 1984),322587.76157214,270407.504472097
34,El Plateado,6856,NO,SI,(Escobar et al. 1984),321855.415952855,266913.834864729
35,Hacienda Cauca,168184,NO,SI,(Escobar et al. 1984),325384.217242695,273583.339473895
36,Hacienda El Manzanar,207040,NO,SI,(Escobar et al. 1984),328352.642724999,274526.339647068
37,La Aldea,63456,NO,SI,(Escobar et al. 1984),326385.827049647,275178.166838856
38,Hacienda Chamizales,90083,NO,SI,(Escobar et al. 1984),325593.882630259,275926.224921688
39,Bellavista,188864,NO,SI,(Escobar et al. 1984),319300.775962745,276356.638520444
40,SENA,188969,NO,SI,(Escobar et al. 1984),326505.950463144,274415.411963617
41,Bello Horizonte,214480,NO,SI,(Escobar et al. 1984),325672.073151824,274615.279370402
42,Urb Santa Fé de Bogotá,264135,NO,SI,(Escobar et al. 1984),326092.428485141,274138.136635141
43,Rio Blanco1,289010,NO,SI,(Escobar et al. 1984),326783.755310774,275313.855529369
44,Rio Blanco 2,168113,NO,NO,(Escobar et al. 1984),326891.995984514,275918.393075189
45,El Azafate,11923,NO,SI,(Escobar et al. 1984),321881.317118066,269192.704342674
46,Ingenierias Unicauca,41940,NO,SI,(Escobar et al. 1984),322374.935263709,270446.705555585
47,La María,17997,NO,SI,(López 1978),316295.439944923,272552.850284319
48,El Plateado cementerio,4400,NO,SI,(Gnecco 1997),321523.344356519,267313.873676937
49,San Bernardino ARQ_4717,62072,NO,SI,(Martínez 2016a),323443.816416925,274907.328249165
50,Ciudad Verde ARQ-4380,15569,NO,SI,(Martínez 2015),323163.542626353,274714.768527045
51,Yambitara ARQ-4672,60689,NO,SI,(Martínez 2016b),324246.064199498,271798.449022994
52,La Virginia ARQ-4937,108808,NO,SI,(Enríquez 2017),324025.440839386,272514.423995801
